name,set,rarity,id,tribe,courage,power,wisdom,speed,energy,mugic,elements,types,ability,flavor,brainwashed,unique,loyal,legendary,image,thumb,splash,artist,tages,gender,exclusive
Accato,MI,Common,1,OverWorld,55,45,70,35,65,1,Fire,Minion Warrior,Support: Wisdom 10,,Outperform Wisdom 5,,,,0B6oyUfwoM3u1cDVJbjRseHRvaDg,1eNWILK1pL5RB2QSPLEL37K2meRAUcUvF,,,,Male,
Aggroar,ZOTH,Common,1,OverWorld,55,35,65,45,40,0,Earth,Strategist,"Strategists you control have ""Defender.""","Flickers like a frozen flame, strikes like a burning shard.",,,,,0B6oyUfwoM3u1djh5UjMyZTRHUDA,1YwhWtO0ueTkDtJKRhbAKWCXE8m4cuXU3,0B6oyUfwoM3u1a0M2M2lwS3dIYjQ,,,Male,
Aivenna,ROTO,Super Rare,1,OverWorld,80,50,90,40,70,0,,Hero Warrior,"Outperform Courage 5 
Outperform Wisdom 5 
While you control a Muge, Aivenna has ""Support All Disciplines 5.""",,,1,1,,0B6oyUfwoM3u1ZDVZR05DQ2Vuc0E,1QXM-1obvbvcOGYwOabdynldUx4O8dP2C,,,,Female,
"Aivenna, OverWorld Lieutenant",FUN,Rare,1,OverWorld,60,65,90,35,60,1,Fire,Hero Warrior,"{{MC}}: Heal 5 damage to target Creature for each Tribe you control. 
If you control only Aivenna and Nivenna, Aivenna has an additional 20 Energy and ""Defender."" ",,,1,,,112-alMdqpHKPSOI1BkKZ1MPNazvVJ0ty,1KIEE7bB3MOrnlBmXAMIsX2NNX55sG3EB,1Z9REnMcDlkYNwEca7idmdXAPzsbdmzeo,,,Female,
Antidaeon,DOP,Promo,1,OverWorld,35,60,40,70,40,2,Water,Scout,,"With thousands of hidden waterways linking the OverWorld and UnderWorld, Antidaeon remains in constant alert against enemy invasion.",,,,,0B6oyUfwoM3u1QUxuSW1mZW1uY1E,1t7UxfHBTY5Xjst1OYWYTYH-5FOhdyIFl,,,,Male,
Arbeid,SS,Uncommon,1,OverWorld,45,30,50,35,35,2,Water,Guardian,{{MC}}: Target attack deals 5 damage. This ability can only be used once per turn.,"""Keep attacking. I'll let you know when it stops tickling."" 
—Arbeid",,1,1,,0B6oyUfwoM3u1SzZSLWNvemFWX0k,1eFxqEIYcKXrJbZceZGC6y2GDyQz1nWP-,11fkhpeoRPtInU6hhiyrJIlgsLm1QgvRn,,,Male,
Arias,DOP,Common,1,OverWorld,55,65,30,55,50,0,Earth,Warrior,Support: Power 5,"If you think he looks angry now, you should have been at the nose-piercing!",,,,,0B6oyUfwoM3u1d05mdmlBRkRENVk,1hmXCxc00IHqOIWRmLjPA6OteWhgHKJra,0B6oyUfwoM3u1YWgwV29zZ0VYRVU,,,Male,Starter
Cromaxx,AU,Ultra Rare,1,Generic,90,60,20,50,70,0,"Earth, Water",Past Warrior,"Damage dealt to Cromaxx by Mugic is reduced to 0.
Cromaxx's Energy cannot be reduced by Mugic.","Cromaxx and Maxxor: different branches, same tree.",,,,,1aP4cZnAvwrocwhOkeVZSRTg8fCDrkV_R,1Wcvl4lCVfcj5vx2mpG_bGU5aaY67FNdA,1BgquMHDnFvz4i61y9KlKiGhqwdqwqEPj,,,Male,Starter
Drabe,TOTT,Common,1,OverWorld,55,30,65,35,50,2,,Caretaker Muge,{{MC}}: Target Creature gains 15 Energy.,Each tattoo symbolizes a fallen friend. Drabe fears he will add several more before the fighting is done.,,,1,,0B6oyUfwoM3u1QjRqNmFRN0wyZnM,1TdoffdkReE85qKVbo9on2zSaH8ck0WU4,,,,Male,
"Ebkeex, Patchwork Minion",LR,Super Rare,1,OverWorld,65,40,80,80,60,0,Air,Minion Elementalist,"At the beginning of combat, Ebkeex gains all Elemental Types your Creatures have.",,"At the beginning of combat, Ebkeex gains all Elemental Types opposing Creatures have.",,,,1-96zeRrAUAxRWOytCmhhOaFC91IsnU5K,172n4d-LF7wtM1UOrDM2sXO4UWnkaOsa_,,,,"Ambiguous, Male",Online
